id,name,category,subcategory,platform,followers,engagement_rate,avg_likes,avg_comments,keywords,fraud_risk,fraud_risk_label,location,content_type,price_usd,verified
48,Rohit Sharma,Sports,Cricket,Instagram,32000000,3.3,1056000,21100,"cricket,IPL,MI,India,captain",0.06,Low,Mumbai India,Photos,85000,true
49,KL Rahul,Sports,Cricket,Instagram,19500000,3.7,721500,14300,"cricket,IPL,India,batsman,sports",0.07,Low,Bangalore India,Photos,52000,true
50,Rishabh Pant,Sports,Cricket,Instagram,15000000,4.1,615000,12300,"cricket,IPL,wicketkeeper,India,comeback",0.06,Low,Delhi India,Photos,40000,true
51,Ravindra Jadeja,Sports,Cricket,Instagram,10200000,3.4,346800,7200,"cricket,IPL,CSK,India,allrounder",0.08,Low,Jamnagar India,Photos,30000,true
52,MS Dhoni,Sports,Cricket,Instagram,40000000,3.1,1240000,24800,"cricket,IPL,CSK,India,legend",0.06,Low,Ranchi India,Photos,110000,true
53,Virat Kohli,Sports,Cricket,Instagram,272000000,3.5,9520000,185000,"cricket,India,captain,lifestyle,sports",0.05,Low,Delhi India,Photos,210000,true
54,Sachin Tendulkar,Sports,Cricket,Instagram,30000000,3.2,960000,19200,"cricket,India,legend,sports,inspiration",0.04,Low,Mumbai India,Photos,95000,true
55,Yuvraj Singh,Sports,Cricket,Instagram,16000000,3.9,624000,12500,"cricket,India,legend,sports,motivation",0.06,Low,Chandigarh India,Photos,42000,true
56,Suresh Raina,Sports,Cricket,Instagram,17000000,3.8,646000,12900,"cricket,IPL,CSK,India,retired",0.07,Low,Ghaziabad India,Photos,44000,true
57,Vinicius Jr,Sports,Football,Instagram,28000000,5.1,1428000,28600,"football,RealMadrid,Brazil,soccer,skills",0.04,Low,Brazil,Photos,70000,true
58,Gavi,Sports,Football,Instagram,19500000,4.5,877500,17600,"football,Barcelona,Spain,soccer,sports",0.05,Low,Spain,Photos,52000,true
59,Simone Biles,Sports,Fitness training,Instagram,10500000,5.1,535500,11200,"gymnastics,sports,fitness,champion,USA",0.04,Low,USA,Photos,30000,true
60,Naomi Osaka,Sports,Fitness training,Instagram,5800000,4.2,243600,5400,"tennis,sports,Japan,fashion,activism",0.04,Low,USA,Photos,17500,true
61,Sania Mirza,Sports,Fitness training,Instagram,5600000,4.5,252000,5600,"tennis,India,sports,fitness,lifestyle",0.05,Low,Hyderabad India,Photos,16000,true
62,Amit Panghal,Sports,Outdoor adventure,Instagram,740000,6.8,50320,1400,"boxing,India,sports,Olympics,outdoor",0.04,Low,Haryana India,Photos,2700,true
63,Bajrang Punia,Sports,Outdoor adventure,Instagram,3000000,5.1,153000,3300,"wrestling,India,sports,Olympics,outdoor",0.05,Low,Jhajjar India,Photos,8500,true
64,Lovlina Borgohain,Sports,Fitness training,Instagram,1300000,6.2,80600,1800,"boxing,India,Olympics,sports,Assam",0.03,Low,Assam India,Photos,4200,true
65,Gurpreet Sandhu,Sports,Football,Instagram,1200000,5.2,62400,1400,"football,India,goalkeeper,ISL,Bengaluru FC",0.04,Low,Punjab India,Photos,4300,true
66,Sandesh Jhingan,Sports,Football,Instagram,380000,6.2,23560,640,"football,India,defence,ISL,sports",0.03,Low,Kerala India,Photos,1300,true
67,Max Verstappen,Sports,Outdoor adventure,Instagram,13000000,4.8,624000,13000,"F1,racing,sports,outdoor,Netherlands",0.05,Low,Netherlands,Photos,35000,true
68,Lewis Hamilton,Sports,Outdoor adventure,Instagram,36000000,3.9,1404000,28100,"F1,racing,sports,fashion,activist",0.06,Low,UK,Photos,90000,true
69,Ishan Sharma,Tech,Smartphones,YouTube,3000000,5.1,153000,3400,"tech,smartphones,review,unboxing,gadgets",0.05,Low,Delhi India,Reviews,8500,true
70,Trakin Tech,Tech,Smartphones,YouTube,9200000,4.3,395600,8400,"tech,smartphones,budget,review,India",0.06,Low,Surat India,Reviews,20000,true
71,Technical Guruji,Tech,Smartphones,YouTube,23500000,3.8,893000,17600,"tech,Hindi,review,smartphone,gadgets",0.08,Low,Dubai UAE,Reviews,48000,true
72,Mrwhosetheboss,Tech,Smartphones,YouTube,19500000,5.2,1014000,19600,"tech,review,flagship,comparison,premium",0.05,Low,London UK,Reviews,43000,true
73,Gaurav Chaudhary,Tech,AI/ML,YouTube,5600000,4.6,257600,5500,"AI,ML,tech,future,innovation,India",0.06,Low,Dubai UAE,Education,15000,true
74,Two Minute Papers,Tech,AI/ML,YouTube,1750000,6.8,119000,3000,"AI,research,ML,papers,science",0.03,Low,Austria,Education,6500,true
75,Krish Naik,Tech,AI/ML,YouTube,1050000,7.2,75600,2000,"AI,ML,datascience,python,tutorial",0.03,Low,Bangalore India,Tutorials,3800,true
76,TheAIGRID,Tech,AI/ML,YouTube,750000,8.1,60750,1750,"AI,AGI,future,technology,automation",0.04,Low,UK,Education,2700,true
77,Dynamo Gaming,Tech,Gaming,YouTube,10500000,4.8,504000,10500,"gaming,BGMI,mobile,esports,India",0.07,Low,Mumbai India,Gaming,24000,true
78,Scout,Tech,Gaming,YouTube,4500000,5.3,238500,5100,"gaming,BGMI,esports,streaming,India",0.06,Low,Mumbai India,Gaming,11000,true
79,Mortal,Tech,Gaming,YouTube,8000000,4.5,360000,7700,"gaming,esports,BGMI,commentary,India",0.07,Low,Mumbai India,Gaming,18000,true
80,Shraddha Khapra,Tech,Software development,YouTube,780000,7.8,60840,1600,"programming,tutorial,India,coding,beginner",0.03,Low,Delhi India,Tutorials,3000,true
81,CodeWithHarry,Tech,Software development,YouTube,5200000,6.2,322400,7000,"coding,Hindi,tutorial,programming,India",0.04,Low,India,Tutorials,15000,true
82,Fireship,Tech,Software development,YouTube,3100000,7.8,241800,5500,"programming,webdev,coding,tech,tutorials",0.02,Low,USA,Tutorials,9500,true
83,Hitesh Choudhary,Tech,Software development,YouTube,920000,6.5,59800,1550,"programming,coding,tutorial,webdev,India",0.03,Low,Jaipur India,Tutorials,3200,true
84,Linus Tech Tips,Tech,Smartphones,YouTube,16800000,4.5,756000,15200,"tech,review,hardware,PC,Canada",0.03,Low,Canada,Reviews,40000,true
85,Marques Brownlee,Tech,Smartphones,YouTube,19500000,5.3,1033500,20700,"tech,review,design,premium,USA",0.03,Low,USA,Reviews,48000,true
86,Kurzgesagt,Tech,AI/ML,YouTube,22500000,7.2,1620000,32400,"science,animation,education,future,tech",0.02,Low,Germany,Animation,58000,true
87,Lex Fridman,Tech,AI/ML,YouTube,4500000,5.9,265500,5800,"AI,science,technology,interview,philosophy",0.02,Low,USA,Podcasts,13000,true
88,Andrew Ng,Tech,AI/ML,LinkedIn,6200000,4.1,254200,5500,"AI,ML,education,deeplearning,technology",0.02,Low,USA,Articles,19000,true
89,Traversy Media,Tech,Software development,YouTube,2300000,5.5,126500,2700,"webdev,javascript,react,css,tutorials",0.02,Low,USA,Tutorials,7000,true
90,ThePrimeagen,Tech,Software development,YouTube,600000,8.9,53400,1550,"programming,Rust,vim,developer,culture",0.02,Low,USA,Education,2200,true
91,Dave2D,Tech,Smartphones,YouTube,4000000,5.1,204000,4200,"tech,laptop,review,clean,design",0.03,Low,USA,Reviews,11000,true
92,JerryRigEverything,Tech,Smartphones,YouTube,9500000,4.8,456000,9500,"tech,durability,teardown,review,USA",0.03,Low,USA,Reviews,24000,true
93,Tanmay Bhat,Tech,Software development,YouTube,1950000,4.2,81900,1950,"comedy,tech,programming,content,India",0.05,Low,Mumbai India,Vlogs & Comedy,5800,true
94,Kamiya Jani,Lifestyle,Travel,YouTube,1650000,5.2,85800,1980,"travel,explore,India,food,culture",0.06,Low,Mumbai India,Vlogs,5500,true
95,Bruised Passports,Lifestyle,Travel,Instagram,1200000,4.7,56400,1300,"travel,luxury,destination,couple,photography",0.05,Low,India,Photos,4300,true
96,Savi and Vid,Lifestyle,Travel,YouTube,750000,6.1,45750,1200,"travel,couple,budget,backpacking,India",0.04,Low,India,Vlogs,2700,true
97,Nikunj Lotia,Lifestyle,Food,YouTube,2050000,4.4,90200,2050,"food,review,Mumbai,restaurant,street food",0.06,Low,Mumbai India,Reviews,5800,true
98,Food Ranger,Lifestyle,Food,YouTube,6000000,5.8,348000,7700,"food,travel,street food,global,adventure",0.04,Low,Canada,Vlogs,16000,true
99,Kabita's Kitchen,Lifestyle,Food,YouTube,8800000,4.1,360800,7300,"cooking,recipe,Indian,food,kitchen",0.03,Low,Bhubaneswar India,Tutorials,19000,true
100,Nisha Madhulika,Lifestyle,Food,YouTube,14000000,4.1,574000,11500,"food,recipe,vegetarian,Hindi,cooking",0.04,Low,Noida India,Tutorials,32000,true
101,Chef Ranveer,Lifestyle,Food,Instagram,2600000,5.1,132600,2900,"food,chef,recipe,India,restaurant",0.05,Low,Mumbai India,Reels,7500,true
102,Pooja Dhingra,Lifestyle,Food,Instagram,840000,5.9,49560,1300,"food,pastry,chef,India,desserts",0.04,Low,Mumbai India,Photos,3200,true
103,Sanjeev Kapoor,Lifestyle,Food,YouTube,9200000,3.9,358800,7400,"food,chef,recipe,Indian,cooking",0.05,Low,Mumbai India,Tutorials,24000,true
104,Flying Beast,Lifestyle,Daily vlogging,YouTube,9600000,3.7,355200,7300,"vlog,family,daily,travel,lifestyle",0.08,Low,Delhi India,Vlogs,22000,true
105,Mumbiker Nikhil,Lifestyle,Daily vlogging,YouTube,3300000,4.5,148500,3200,"vlog,bike,travel,daily,lifestyle",0.07,Low,Mumbai India,Vlogs,8500,true
106,Prajakta Koli,Lifestyle,Daily vlogging,YouTube,7800000,5.1,397800,8500,"vlog,comedy,lifestyle,daily,India",0.06,Low,Mumbai India,Vlogs,17500,true
107,Jay Shetty,Lifestyle,Minimalism,YouTube,7800000,5.8,452400,9600,"mindfulness,motivation,wisdom,lifestyle,purpose",0.04,Low,USA,Podcasts,24000,true
108,Matt D'Avella,Lifestyle,Minimalism,YouTube,5100000,6.2,316200,6900,"minimalism,documentary,lifestyle,film,design",0.02,Low,USA,Videos,15000,true
109,Sadhguru,Lifestyle,Minimalism,YouTube,10500000,5.2,546000,11100,"spirituality,yoga,wellness,India,mindfulness",0.03,Low,Coimbatore India,Talks,30000,true
110,Ranveer Allahbadia,Lifestyle,Daily vlogging,YouTube,9200000,5.8,533600,11500,"podcast,lifestyle,motivation,India,entrepreneur",0.05,Low,Mumbai India,Podcasts,24000,true
111,Dhruv Rathee,Lifestyle,Daily vlogging,YouTube,19500000,6.2,1209000,24700,"politics,education,India,analysis,awareness",0.04,Low,Germany,Videos,48000,true
112,Ashish Chanchlani,Lifestyle,Daily vlogging,YouTube,31000000,4.8,1488000,29800,"comedy,vlog,India,entertainment,YouTube",0.08,Low,Ulhasnagar India,Vlogs,70000,true
113,Gaur Gopal Das,Lifestyle,Minimalism,YouTube,4100000,6.1,250100,5400,"spirituality,motivation,wisdom,India,lifestyle",0.03,Low,Mumbai India,Talks,13000,true
114,Robin Sharma,Lifestyle,Minimalism,YouTube,2300000,4.8,110400,2400,"leadership,mindset,minimalism,success,books",0.02,Low,Canada,Talks,7500,true
115,Zakir Khan,Lifestyle,Daily vlogging,YouTube,6200000,4.8,297600,6300,"comedy,standup,India,storytelling,Indore",0.04,Low,Mumbai India,Comedy,17000,true
116,Nikita Bawa,Lifestyle,Travel,Instagram,460000,7.2,33120,960,"travel,solo,budget,India,lifestyle",0.04,Low,Delhi India,Photos & Reels,1700,true
117,Rohan Khandelwal,Lifestyle,Minimalism,Instagram,200000,9.1,18200,580,"minimalism,design,lifestyle,clean,aesthetic",0.02,Low,Pune India,Photos,750,true
118,Shalini Chopra,Lifestyle,Food,YouTube,1050000,5.8,60900,1400,"food,vegetarian,recipe,Indian,cooking",0.04,Low,Chandigarh India,Tutorials,3800,true
119,Shilpa Shetty,Fitness,Yoga,Instagram,9800000,3.4,333200,6600,"yoga,fitness,wellness,health,Bollywood",0.08,Low,Mumbai India,Photos & Videos,30000,true
120,Sarvesh Shashi,Fitness,Yoga,Instagram,490000,6.8,33320,960,"yoga,wellness,mindfulness,health,fitness",0.04,Low,Chennai India,Reels,1900,true
121,Yoga with Adriene,Fitness,Yoga,YouTube,13000000,5.9,767000,15400,"yoga,beginner,wellness,mindfulness,daily",0.03,Low,USA,Tutorials,35000,true
122,Malaika Arora,Fitness,Yoga,Instagram,8400000,3.1,260400,5200,"yoga,fitness,fashion,Bollywood,wellness",0.10,Low,Mumbai India,Photos,26000,true
123,Nikhil Workout,Fitness,Bodybuilding,YouTube,1300000,5.4,70200,1600,"bodybuilding,gym,fitness,workout,India",0.05,Low,Bangalore India,Tutorials,4200,true
124,Guru Mann,Fitness,Bodybuilding,YouTube,4100000,4.7,192700,4200,"bodybuilding,fitness,nutrition,India,transformation",0.06,Low,USA,Tutorials,11000,true
125,Jeff Nippard,Fitness,Bodybuilding,YouTube,5800000,6.8,394400,8800,"bodybuilding,science,fitness,nutrition,evidence",0.02,Low,Canada,Education,17000,true
126,Chloe Ting,Fitness,Home workouts,YouTube,26500000,5.1,1351500,25600,"fitness,home,workout,challenge,transformation",0.05,Low,Australia,Tutorials,64000,true
127,Blogilates,Fitness,Home workouts,YouTube,9500000,4.8,456000,9700,"fitness,pilates,home,workout,lifestyle",0.04,Low,USA,Tutorials,24000,true
128,Fit Tuber,Fitness,Nutrition,YouTube,6600000,5.3,349800,7600,"nutrition,health,fitness,food,science India",0.04,Low,Delhi India,Education,17000,true
129,Rujuta Diwekar,Fitness,Nutrition,Instagram,1200000,4.6,55200,1300,"nutrition,diet,health,Indian food,wellness",0.05,Low,Mumbai India,Posts,4300,true
130,Luke Coutinho,Fitness,Nutrition,Instagram,1500000,5.8,87000,2000,"nutrition,health,holistic,wellness,India",0.04,Low,Mumbai India,Posts,5500,true
131,Abbey Sharp,Fitness,Nutrition,YouTube,1500000,5.7,85500,1900,"nutrition,dietitian,food,health,science",0.03,Low,Canada,Education,5500,true
132,Six Pack Band,Fitness,Bodybuilding,YouTube,1950000,5.4,105300,2400,"bodybuilding,fitness,sixpack,India,transformation",0.05,Low,Delhi India,Tutorials,5800,true
133,K11 Academy,Fitness,Bodybuilding,Instagram,370000,6.8,25160,700,"fitness,bodybuilding,gym,training,India",0.04,Low,Mumbai India,Reels,1400,true
134,Pooja Bedi,Fitness,Yoga,Instagram,490000,5.9,28910,810,"yoga,wellness,holistic,India,lifestyle",0.05,Low,Goa India,Reels,1700,true
135,Sourav Ganguly,Sports,Cricket,Instagram,5100000,3.3,168300,3600,"cricket,India,Bengal,BCCI,captain",0.06,Low,Kolkata India,Photos,15000,true
136,Harbhajan Singh,Sports,Cricket,Twitter,7200000,3.2,230400,4900,"cricket,India,spin,IPL,legend",0.07,Low,Jalandhar India,Tweets,19000,true
137,Virender Sehwag,Sports,Cricket,Twitter,9800000,3.5,343000,7400,"cricket,India,opening,legend,humour",0.06,Low,Delhi India,Tweets,26000,true
138,Kapil Dev,Sports,Cricket,Twitter,4500000,3.1,139500,3000,"cricket,India,legend,1983,captain",0.05,Low,Chandigarh India,Tweets,13000,true
139,VVS Laxman,Sports,Cricket,Twitter,3400000,3.2,108800,2300,"cricket,India,Hyderabad,batting,legend",0.05,Low,Hyderabad India,Tweets,9500,true
140,Zaheer Khan,Sports,Cricket,Instagram,2600000,3.7,96200,2200,"cricket,India,bowling,swing,legend",0.05,Low,Shrirampur India,Photos,7500,true
141,Irfan Pathan,Sports,Cricket,Instagram,4500000,4.1,184500,4100,"cricket,India,allrounder,Kashmir,media",0.05,Low,Baroda India,Photos,13000,true
142,Rahul Dravid,Sports,Cricket,Instagram,4100000,3.4,139400,3000,"cricket,India,wall,coach,legend",0.04,Low,Bangalore India,Photos,12000,true
143,Nelly Korda,Sports,Outdoor adventure,Instagram,740000,5.8,42920,1100,"golf,sports,outdoor,USA,champion",0.03,Low,USA,Photos,2700,true
144,Dutee Chand,Sports,Outdoor adventure,Instagram,900000,5.9,53100,1350,"athletics,India,sports,sprinting,outdoor",0.04,Low,Odisha India,Photos,3200,true
145,Nikita Sharma,Lifestyle,Travel,Instagram,740000,6.1,45140,1200,"travel,India,photography,nature,adventure",0.04,Low,Delhi India,Photos,2700,true
146,Emma Chamberlain,Lifestyle,Daily vlogging,Instagram,17800000,3.9,694200,13900,"lifestyle,fashion,coffee,daily,USA",0.08,Low,USA,Reels,44000,true
147,Casey Neistat,Lifestyle,Daily vlogging,YouTube,13500000,5.2,702000,14000,"vlog,NYC,filmmaking,storytelling,travel",0.04,Low,USA,Films,37000,true
148,Riya Desai,Sports,Outdoor adventure,Instagram,170000,8.2,13940,430,"outdoor,hiking,adventure,nature,travel",0.03,Low,Gujarat India,Reels,650,true
149,GQ India,Fashion,Luxury fashion,Instagram,1950000,3.2,62400,1400,"luxury,men,fashion,lifestyle,India",0.07,Low,Mumbai India,Photos,5800,true
150,Vogue India,Fashion,Luxury fashion,Instagram,5600000,3.1,173600,3800,"luxury,fashion,editorial,India,style",0.08,Low,Mumbai India,Photos,15000,true
151,Manvir Singh,Sports,Football,Instagram,210000,7.8,16380,490,"football,India,ISL,sports,goals",0.03,Low,Punjab India,Reels,850,true
152,Devdutt Padikkal,Sports,Cricket,Instagram,2400000,6.1,146400,3200,"cricket,India,RR,IPL,youngster",0.04,Low,Bangalore India,Photos,7500,true
153,Ruturaj Gaikwad,Sports,Cricket,Instagram,3700000,5.8,214600,4600,"cricket,CSK,India,IPL,batsman",0.05,Low,Pune India,Photos,11000,true
154,Rinku Singh,Sports,Cricket,Instagram,2800000,7.2,201600,5200,"cricket,India,IPL,KKR,finisher",0.04,Low,Aligarh India,Photos,8500,true
155,Tilak Varma,Sports,Cricket,Instagram,1800000,6.8,122400,3200,"cricket,India,IPL,MI,youngster",0.04,Low,Hyderabad India,Photos,5500,true
156,Surya Kumar Yadav,Sports,Cricket,Instagram,8200000,4.8,393600,8600,"cricket,India,T20,360degree,Mumbai",0.05,Low,Mumbai India,Photos,24000,true
157,Hardik Pandya,Sports,Cricket,Instagram,22000000,3.8,836000,18300,"cricket,IPL,allrounder,Mumbai,fitness",0.08,Low,Baroda India,Photos,60000,true
158,Shreyas Iyer,Sports,Cricket,Instagram,5800000,4.5,261000,5800,"cricket,India,IPL,KKR,captain",0.05,Low,Mumbai India,Photos,17000,true
159,Ishan Kishan,Sports,Cricket,Instagram,4200000,5.1,214200,4700,"cricket,India,IPL,wicketkeeper,youngster",0.05,Low,Patna India,Photos,12500,true
160,Washington Sundar,Sports,Cricket,Instagram,2100000,5.8,121800,2800,"cricket,India,allrounder,IPL,spin",0.04,Low,Chennai India,Photos,6500,true
161,Nitish Rana,Sports,Cricket,Instagram,1600000,5.5,88000,2100,"cricket,India,IPL,KKR,batsman",0.04,Low,Delhi India,Photos,5000,true
162,Sanju Samson,Sports,Cricket,Instagram,5200000,4.8,249600,5500,"cricket,Kerala,IPL,RR,wicketkeeper",0.05,Low,Kerala India,Photos,15500,true
163,Axar Patel,Sports,Cricket,Instagram,3800000,4.5,171000,3800,"cricket,India,IPL,DC,allrounder",0.04,Low,Gujarat India,Photos,11000,true
164,Mohammed Siraj,Sports,Cricket,Instagram,4600000,5.2,239200,5200,"cricket,India,IPL,RCB,fast bowling",0.04,Low,Hyderabad India,Photos,13500,true
165,Deepak Chahar,Sports,Cricket,Instagram,3200000,4.8,153600,3400,"cricket,India,IPL,CSK,swing bowling",0.04,Low,Rajasthan India,Photos,9500,true
166,Prithvi Shaw,Sports,Cricket,Instagram,2800000,5.5,154000,3600,"cricket,India,IPL,DC,youngster",0.05,Low,Mumbai India,Photos,8500,true
167,Daniel Ricciardo,Sports,Outdoor adventure,Instagram,5800000,5.2,301600,6600,"F1,racing,sports,fun,Australia",0.05,Low,Australia,Photos,17000,true
168,Charles Leclerc,Sports,Outdoor adventure,Instagram,8200000,5.8,475600,10400,"F1,Ferrari,racing,Monaco,sports",0.04,Low,Monaco,Photos,24000,true
